ka_utf;kname;meaning;kstroke;onyomi_ja;onyomi;kunyomi_ja;kunyomi;grade;examples;dick;dicn;rad_utf;rad_order;rad_name_ja;rad_name;rad_meaning;rad_stroke;rad_position_ja;rad_position
震;furu(eru);quake, shake, tremble;15;シン;shin;ふる、ふるえる、ふるえ;furu, furueru, furue;n/a;"[ [ ""震動（しんどう）"", ""shock, tremor, impact"" ], [ ""震度（しんど）"", ""Japanese earthquake scale"" ], [ ""震源（しんげん）"", ""epicenter"" ], [ ""震災（しんさい）"", ""earthquake (disaster)"" ], [ ""地震（じしん）"", ""earthquake"" ], [ ""強震（きょうしん）"", ""severe earthquake"" ], [ ""弱震（じゃくしん）"", ""mild earthquake"" ], [ ""震える（ふるえる）"", ""shiver, shake, quake [v.i.]"" ], [ ""身震いする（みぶるいする）"", ""shiver, tremble, shudder"" ] ]";1794;5055;⻗;211;あめかんむり;amekanmuri;rain;8;かんむり;kanmuri
個;ko(sei);individual, general counter;10;コ、カ;ko, ka;;n/a;5;"[ [ ""一個（いっこ）"", ""1 (piece)"" ], [ ""何個（なんこ）"", ""how many pieces"" ], [ ""個室（こしつ）"", ""private room"" ], [ ""個人（こじん）"", ""individual"" ], [ ""個性（こせい）"", ""personality"" ], [ ""二個所（にかしょ）"", ""2 places"" ] ]";87;489;⺅;11;にんべん;ninben;person ;2;へん;hen
災;sai(nan);calamity, disaster, misfortune;7;サイ;sai;わざわ、わざわい;wazawa, wazawai;5;"[ [ ""災難（さいなん）"", ""mishap, calamity, misfortune"" ], [ ""災害（さいがい）"", ""calamity, disaster"" ], [ ""震災（しんさい）"", ""earthquake (disaster)"" ], [ ""火災（かさい）"", ""fire (disaster)"" ], [ ""人災（じんさい）"", ""man-made disaster"" ], [ ""天災（てんさい）"", ""natural disaster"" ], [ ""戦災（せんさい）"", ""war damage"" ], [ ""被災地（ひさいち）"", ""disaster-struck area"" ], [ ""災い（わざわい）"", ""calamity, catastrophe, evil"" ] ]";1400;1448;⽕;110;ひ;hi;fire;4;;
焦;ko(geru);scorch, be impatient, yearn for;12;ショウ;shou;こ、こげる、こがす、こがれる、あせ、あせる、あせり;ko, kogeru, kogasu, kogareru, ase, aseru, aseri;n/a;"[ [ ""焦土（しょうど）"", ""scorched earth"" ], [ ""焦点（しょうてん）"", ""focus, point"" ], [ ""焦燥感（しょうそうかん）"", ""impatience, uneasiness"" ], [ ""焦げる（こげる）"", ""burn, be burned [v.i.]"" ], [ ""焦がす（こがす）"", ""burn, scorch, singe [v.t.]"" ], [ ""恋焦がれる（こいこがれる）"", ""yearn for, be deeply in love"" ], [ ""待ち焦がれる（まちこがれる）"", ""long for"" ], [ ""焦る（あせる）"", ""be in a hurry, be impatient"" ] ]";1771;5029;⺣;112;れっか;rekka;fire;4;あし;ashi
破;ha(kaisuru);break, tear;10;ハ;ha;やぶ、やぶる、やぶれる;yabu, yaburu, yabureru;5;"[ [ ""破局（はきょく）"", ""catastrophe, cataclysm"" ], [ ""破片（はへん）"", ""fragment, splinter, broken piece"" ], [ ""破壊する（はかいする）"", ""destroy, demolish"" ], [ ""破棄する（はきする）"", ""revoke, annul, break"" ], [ ""破産する（はさんする）"", ""go bankrupt"" ], [ ""破滅する（はめつする）"", ""fall into ruin"" ], [ ""読破する（どくはする）"", ""finish reading a book"" ], [ ""爆破する（ばくはする）"", ""explode, blow up"" ], [ ""難波する（なんぱする）"", ""be wrecked (ship)"" ], [ ""突破する（とっぱする）"", ""break through"" ], [ ""破る（やぶる）"", ""tear, violate, defeat [v.t.]"" ], [ ""破れる（やぶれる）"", ""wear out, get torn [v.i.]"" ] ]";784;3186;;143;いしへん;ishihen;stone;5;へん;hen
壊;kai-kowa(su);break down, destroy, damage;16;カイ;kai;こわ、こわす、こわれる;kowa, kowasu, kowareru;n/a;"[ [ ""壊滅する（かいめつする）"", ""destroy, annihilate [v.t.][v.i.]"" ], [ ""破壊する（はかいする）"", ""destroy, demolish"" ], [ ""崩壊する（ほうかいする）"", ""collapse, crumble"" ], [ ""倒壊する（とうかいする）"", ""collapse, fall down"" ], [ ""全壊する（ぜんかいする）"", ""be completely destroyed"" ], [ ""壊す（こわす）"", ""break, destroy [v.t.]"" ], [ ""壊れる（こわれる）"", ""break [v.i.]"" ] ]";524;1147;;38;つちへん;tsuchihen;earth;3;へん;hen
造;zou-tsuku(ru);make, produce, build;10;ゾウ;zou;つく、つくる、つくり;tsuku, tsukuru, tukuri;5;"[ [ ""造花（ぞうか）"", ""artificial flowers"" ], [ ""造船（ぞうせん）"", ""shipbuilding"" ], [ ""構造（こうぞう）"", ""structure, construction"" ], [ ""木造（もくぞう）"", ""wooden, made of wood"" ], [ ""人造湖（じんぞうこ）"", ""artificial lake"" ], [ ""創造する（そうぞうする）"", ""create"" ], [ ""改造する（かいぞうする）"", ""remodel"" ], [ ""製造する（せいぞうする）"", ""manufacture, produce"" ], [ ""造る（つくる）"", ""make, create, manufacture"" ], [ ""酒造り（さけづくり）"", ""sake brewing"" ] ]";1983;4701;⻌;72;しんにょう;shinnyou;road, walk, to advance;3;にょう;nyou
我;ga-ware;self, I, my, our;7;ガ;ga;われ、わ;ware, wa;6;"[ [ ""我流（がりゅう）"", ""one's own style"" ], [ ""我欲（がよく）"", ""selfishness"" ], [ ""自我（じが）"", ""self, ego"" ], [ ""無我（むが）"", ""selflessness"" ], [ ""怪我（けが）"", ""injury"" ], [ ""我慢する（がまんする）"", ""endure, put up with"" ], [ ""我（われ）"", ""I, self, oneself, ego"" ], [ ""我々（われわれ）"", ""we"" ], [ ""我が家（わがや）"", ""our house, our home"" ], [ ""我が国（わがくに）"", ""our country, our land"" ] ]";2208;200;⼽;81;ほこ;hoko;spear, weapon;4;;
去;kyo-sa(ru);go away, leave;5;キョ、コ;kyo, ko;さ、さる;sa, saru;3;"[ [ ""去年（きょねん）"", ""last year"" ], [ ""去来する（きょらいする）"", ""come and go"" ], [ ""退去する（たいきょする）"", ""depart, leave"" ], [ ""死去する（しきょする）"", ""pass away, die"" ], [ ""過去（かこ）"", ""the past"" ], [ ""去る（さる）"", ""leave, go away"" ] ]";1364;1051;⼛;32;む;mu;private, Katakana Mu;2;;
巨;kyo(daina);huge, gigantic, large;5;キョ;kyo;;n/a;n/a;"[ [ ""巨人（きょじん）"", ""giant"" ], [ ""巨岩（きょがん）"", ""huge rock, crag"" ], [ ""巨視的な（きょしてきな）"", ""macroscopic"" ], [ ""巨大な（きょだいな）"", ""enormous, colossal"" ] ]";1924;758;⼆;8;に;ni;two;2;;
並;hei-nara(bu);line up, ordinary;8;ヘイ;hei;なみ、な、ならべる、なら、ならぶ、ならびに、ならび;nami, na, naraberu, nara, narabu, narabini, narabi;6;"[ [ ""並列する（へいれつする）"", ""stand in a row"" ], [ ""並（なみ）"", ""common, ordinary, average"" ], [ ""並木（なみき）"", ""row of trees"" ], [ ""並外れる（なみはずれる）"", ""out of the ordinary"" ], [ ""町並み（まちなみ）"", ""stores and houses on a street"" ], [ ""軒並み（のきなみ）"", ""row of houses, at every door"" ], [ ""人並み（ひとなみ）"", ""average, ordinary"" ], [ ""月並みな（つきなみな）"", ""trite, commonplace, hackneyed"" ], [ ""並べる（ならべる）"", ""line up [v.t.]"" ], [ ""並ぶ（ならぶ）"", ""line up [v.i.]"" ], [ ""並びに（ならびに）"", ""and"" ] ]";1436;589;⼀;1;いち;ichi;one, horizontal stroke;1;;
坂;saka;slope, hill;7;ハン;han;さか;saka;3;"[ [ ""登坂する（とはんする）"", ""climb a hill"" ], [ ""坂（さか）"", ""slope hill"" ], [ ""坂道（さかみち）"", ""hill road"" ], [ ""上り坂（のぼりざか）"", ""uphill, upgrade"" ], [ ""下り坂（くだりざか）"", ""downhill, downgrade"" ] ]";172;1061;;38;つちへん;tsuchihen;earth;3;へん;hen
匹;(nan)hiki;counter for animals;4;ヒツ;hitsu;ひき;hiki;n/a;"[ [ ""匹敵する（ひってきする）"", ""match, be equal to"" ], [ ""一匹（いっぴき）"", ""1 (animal)"" ], [ ""三匹（さんびき）"", ""3 (animals)"" ], [ ""六匹（ろっぴき）"", ""6 (animals)"" ], [ ""八匹（はっぴき）"", ""8 (animals)"" ], [ ""十匹（じゅっぴき）"", ""10 (animals)"" ], [ ""何匹（なんびき）"", ""how many animals"" ] ]";1878;756;⼕;27;はこがまえ;hakogamae;box;2;かまえ, はこがまえ;kamae, hakogamae
緑;ryoku-midori;green;14;リョク、ロク;ryoku, roku;みどり;midori;3;"[ [ ""緑茶（りょくちゃ）"", ""green tea, Japanese tea"" ], [ ""新緑（しんりょく）"", ""fresh verdure"" ], [ ""葉緑素（ようりょくそ）"", ""chlorophyl"" ], [ ""緑青（ろくしょう）"", ""copper rust, verdigris"" ], [ ""緑（みどり）"", ""greenery"" ], [ ""緑色（みどりいろ）"", ""green"" ] ]";934;3564;;158;いとへん;itohen;thread;6;へん;hen
植;u(waru);plant;12;ショク;shoku;う、うえる、うわる;u, ueru, uwaru;3;"[ [ ""植物（しょくぶつ）"", ""plant, vegetation"" ], [ ""植物園（しょくぶつえん）"", ""botanical garden"" ], [ ""植民地（しょくみんち）"", ""colony"" ], [ ""臓器移植（ぞうきいしょく）"", ""organ transplant"" ], [ ""移植する（いしょくする）"", ""transplant, implant"" ], [ ""入植する（にゅうしょくする）"", ""settle, immigrate"" ], [ ""植える（うえる）"", ""plant, grow [v.t.]"" ], [ ""植木（うえき）"", ""garden shrubs, potted plant"" ], [ ""田植え（たうえ）"", ""rice planting"" ], [ ""植わる（うわる）"", ""be planted [v.i.]"" ] ]";677;2303;;98;きへん;kihen;tree, wood;4;へん;hen
脈;myaku;vein, pulse;10;ミャク;myaku;;n/a;4;"[ [ ""脈（みゃく）"", ""pulse"" ], [ ""脈拍（みゃくはく）"", ""pulse, pulsation"" ], [ ""脈絡（みゃくらく）"", ""chain of reasoning, coherence"" ], [ ""文脈（ぶんみゃく）"", ""context"" ], [ ""動脈（どうみゃく）"", ""artery"" ], [ ""静脈（じょうみゃく）"", ""vein"" ], [ ""山脈（さんみゃく）"", ""mountain range"" ], [ ""葉脈（ようみゃく）"", ""veins of a leaf"" ], [ ""不整脈（ふせいみゃく）"", ""irregular pulse, arrhythmia"" ], [ ""乱脈な（らんみゃくな）"", ""chaotic, disorderly"" ] ]";648;3764;;96;にくづき;nikuzuki;meat, flesh;4;;
設;(ken)setsu;set up, establish;11;セツ;setsu;もう、もうける;mou, moukeru;5;"[ [ ""設備（せつび）"", ""equipment, facilities"" ], [ ""施設（しせつ）"", ""institution, facility"" ], [ ""私設（しせつ）"", ""private"" ], [ ""設計する（せっけいする）"", ""plan, design"" ], [ ""設定する（せっていする）"", ""establish, set up"" ], [ ""設立する（せつりつする）"", ""establish, found, organize"" ], [ ""設置する（せっちする）"", ""establish, found"" ], [ ""創設する（そうせつする）"", ""establish, found"" ], [ ""開設する（かいせつする）"", ""establish, open"" ], [ ""建設する（けんせつする）"", ""build, establish, construct"" ], [ ""設ける（もうける）"", ""create, establish"" ] ]";987;3425;;183;ごんべん;gonben;words, to speak, say;7;へん;hen
築;kizu(ku);construct, build;16;チク;chiku;きず、きずく;kizu, kizuku;5;"[ [ ""建築（けんちく）"", ""construction, architecture"" ], [ ""建築家（けんちくか）"", ""architect"" ], [ ""築城する（ちくじょうする）"", ""fortify, construct a castle"" ], [ ""新築する（しんちくする）"", ""build, construct"" ], [ ""増築する（ぞうちくする）"", ""build an addition"" ], [ ""改築する（かいちくする）"", ""rebuild, reconstruct"" ], [ ""構築する（こうちくする）"", ""build, construct"" ], [ ""築く（きずく）"", ""build, construct"" ], [ ""*築山（つきやま）"", ""artificial hill (in a garden)"" ], [ ""*築地（つきじ）"", ""Tsukiji (place name)"" ] ]";1743;3435;⺮;154;たけかんむり;takekanmuri;bamboo;6;かんむり;kanmuri
局;(yuubin)kyoku;bureau, limited part, office;7;キョク;kyoku;;n/a;3;"[ [ ""局長（きょくちょう）"", ""bureau director, office chief"" ], [ ""局面（きょくめん）"", ""checkerboard, aspect, situation"" ], [ ""破局（はきょく）"", ""catastrophe, cataclysm"" ], [ ""戦局（せんきょく）"", ""the state of the war"" ], [ ""政局（せいきょく）"", ""political situation"" ], [ ""結局（けっきょく）"", ""after all, eventually"" ], [ ""薬局（やっきょく）"", ""pharmacy, drugstore"" ], [ ""水道局（すいどうきょく）"", ""water bureau or department"" ], [ ""郵便局（ゆうびんきょく）"", ""post office"" ], [ ""放送局（ほうそうきょく）"", ""broadcasting office"" ], [ ""局地的な（きょくちてきな）"", ""local"" ], [ ""局限する（きょくげんする）"", ""limit, localize"" ] ]";1943;1384;⼫;53;しかばね;shikabane;corpse, awning;3;たれ;tare
温;on(sen);warm;12;オン;on;あたた、あたたか、あたたかい、あたたまる、あたためる;atata, atataka, atatakai, atatamaru, atatameru;3;"[ [ ""温度（おんど）"", ""temperature"" ], [ ""温度計（おんどけい）"", ""thermometer"" ], [ ""温室（おんしつ）"", ""greenhouse"" ], [ ""温泉（おんせん）"", ""spa, hot spring, onsen"" ], [ ""気温（きおん）"", ""air temperature"" ], [ ""体温（たいおん）"", ""body temperature"" ], [ ""温暖な（おんだんな）"", ""warm, mild, temperate"" ], [ ""温和な（おんわな）"", ""gentle, mild, mild-tempered"" ], [ ""保温する（ほおんする）"", ""retain warmth, keep in heat"" ], [ ""温める（あたためる）"", ""warm, heat up [v.t.]"" ], [ ""温まる（あたたまる）"", ""warm up [v.i.]"" ], [ ""温かい（あたたかい）"", ""warm [adj.]"" ] ]";442;2634;⺡;76;さんずい;sanzui;water;3;へん;hen
華;(gou)ka;magnificent, flower, brilliant, China;10;カ、ケ;ka, ke;はな、はなやかな;hana, hanayakana;n/a;"[ [ ""華道（かどう）"", ""flower arrangement"" ], [ ""華氏（かし）"", ""Fahrenheit"" ], [ ""中華料理（ちゅうかりょうり）"", ""Chinese food"" ], [ ""華麗な（かれいな）"", ""splendid, magnificent"" ], [ ""華美な（かびな）"", ""splendid, showy, gaudy"" ], [ ""豪華な（ごうかな）"", ""gorgeous, luxurious"" ], [ ""法華経（ほけきょう）"", ""the Lotus Sutra"" ], [ ""華（はな）"", ""flower, essence"" ], [ ""華やかな（はなやかな）"", ""flowery, flamboyant"" ], [ ""華々しい（はなばなしい）"", ""spectacular, brilliant, glorious"" ] ]";1465;3955;⺾;71;くさかんむり;kusakanmuri;grass;3;かんむり;kanmuri
氏;shi-uji;courtesy title, family name, lineage;4;シ;shi;うじ;uji;4;"[ [ ""氏名（しめい）"", ""full name, identity"" ], [ ""氏族（しぞく）"", ""clan, family"" ], [ ""田中氏（たなかし）"", ""Mr. Tanaka"" ], [ ""彼氏（かれし）"", ""boyfriend"" ], [ ""摂氏（せっし）"", ""Centigrade, Celsius"" ], [ ""華氏（かし）"", ""Fahrenheit"" ], [ ""氏（うじ）"", ""lineage, family, Mr."" ], [ ""氏神（うじがみ）"", ""Shinto god, patron god"" ], [ ""氏素性（うじすじょう）"", ""(a person's) family background"" ] ]";1872;2478;⽒;107;うじ;uji;family, clan;4;;
算;san(suu);calculate;14;サン;san;;n/a;2;"[ [ ""算数（さんすう）"", ""arithmetic"" ], [ ""採算（さいさん）"", ""profit"" ], [ ""暗算（あんざん）"", ""mental arithmetic"" ], [ ""予算（よさん）"", ""estimate, budget"" ], [ ""足し算（たしざん）"", ""addition"" ], [ ""引き算（ひきざん）"", ""subtraction"" ], [ ""計算する（けいさんする）"", ""calculate, reckon"" ], [ ""概算する（がいさんする）"", ""approximate, estimate"" ], [ ""精算する（せいさんする）"", ""adjust a fare, settle up"" ], [ ""換算する（かんさんする）"", ""convert, change"" ] ]";1737;3415;⺮;154;たけかんむり;takekanmuri;bamboo;6;かんむり;kanmuri
円;en-maru;circle, yen;4;エン;en;まる、まるい;maru, marui;1;"[ [ ""千円（せんえん）"", ""a thousand yen"" ], [ ""円高（えんだか）"", ""strong yen"" ], [ ""円安（えんやす）"", ""cheap yen"" ], [ ""円満な（えんまんな）"", ""peaceful"" ], [ ""円滑な（えんかつな）"", ""smooth"" ], [ ""円い（まるい）"", ""round"" ] ]";1875;617;⼌ ;17;けいがまえ;keigamae;to enclose;2;かまえ, けいがまえ;kamae, keigamae
邪;ja(akuna);evil, wrong;8;ジャ;ja;;n/a;n/a;"[ [ ""邪心（じゃしん）"", ""malice, evil intentions"" ], [ ""邪道な（じゃどうな）"", ""heresy, the course of evil"" ], [ ""邪魔な（じゃまな）"", ""obstructive, burdensome"" ], [ ""邪悪な（じゃあくな）"", ""wicked, evil"" ], [ ""無邪気な（むじゃきな）"", ""innocent, simple"" ], [ ""邪魔する（じゃまする）"", ""get in the way, be a nuisance"" ], [ ""*風邪（かぜ）"", ""a cold (as in an illness)"" ] ]";766;2849;⻏;73;おおざと;oozato;village, country, city;3;つくり;tsukuri
軽;karu(i);light;12;ケイ;kei;かる、かるい、かろ、かろやかな;karu, karui, karo, karoyakana;3;"[ [ ""軽傷（けいしょう）"", ""minor injury"" ], [ ""軽食（けいしょく）"", ""light meal"" ], [ ""軽工業（けいこうぎょう）"", ""light industry"" ], [ ""軽率な（けいそつな）"", ""rash, impulsive, careless"" ], [ ""軽薄な（けいはくな）"", ""frivolous, superficial"" ], [ ""軽快な（けいかいな）"", ""rhythmical, casual, light, nimble"" ], [ ""軽視する（けいしする）"", ""despise, slight, ignore, neglect"" ], [ ""軽減する（けいげんする）"", ""lighten, lessen, abate [v.i.]"" ], [ ""軽い（かるい）"", ""light, minor, not serious"" ], [ ""気軽な（きがるな）"", ""cheerful, buoyant, lighthearted"" ], [ ""手軽な（てがるな）"", ""easy, simple, informal, offhand"" ], [ ""軽やかな（かろやかな）"", ""light, airy, easy"" ] ]";1015;4620;;196;くるまへん;kurumahen;vehicle, wheel, car;7;へん;hen
絡;kara(maru);interlink, entwine, get entangled;12;ラク;raku;から、からむ、からまる、からめる;kara, karamu, karamaru, karameru;n/a;"[ [ ""脈絡（みゃくらく）"", ""chain of reasoning, logic"" ], [ ""短絡的な（たんらくてきな）"", ""over-abbreviated, simplistic"" ], [ ""連絡する（れんらくする）"", ""notify, communicate, contact"" ], [ ""絡む（からむ）"", ""become entangled with [v.i.]"" ], [ ""絡める（からめる）"", ""entwine [v.t.]"" ], [ ""絡まる（からまる）"", ""get caught in, entwine [v.i.]"" ] ]";915;3533;;158;いとへん;itohen;thread;6;へん;hen
毛;mou(fu);hair, fur, feather, down;4;モウ;mou;け;ke;2;"[ [ ""毛布（もうふ）"", ""blanket"" ], [ ""毛筆（もうひつ）"", ""(writing) brush"" ], [ ""羽毛（うもう）"", ""feathers, plumage, down,"" ], [ ""羊毛（ようもう）"", ""wool,"" ], [ ""純毛（じゅんもう）"", ""100 % wool"" ], [ ""不毛（ふもう）"", ""sterile, barren, unproductive [n.]"" ], [ ""毛（け）"", ""hair, fur"" ], [ ""毛糸（けいと）"", ""knitting wool"" ], [ ""髪の毛（かみのけ）"", ""hair (on the head)"" ], [ ""鼻毛（はなげ）"", ""nose hair"" ], [ ""赤毛（あかげ）"", ""red hair"" ] ]";2152;2473;⽑;106;け;ke;hair;4;;
布;nuno;cloth, spread;5;フ;fu;ぬの;nuno;5;"[ [ ""布団（ふとん）"", ""bedding, futon"" ], [ ""毛布（もうふ）"", ""blanket"" ], [ ""財布（さいふ）"", ""purse, wallet"" ], [ ""湿布（しっぷ）"", ""compress, poultice"" ], [ ""布告する（ふこくする）"", ""proclaim, declare"" ], [ ""布教する（ふきょうする）"", ""propagate (a religion)"" ], [ ""配布する（はいふする）"", ""distribute [v.t.]"" ], [ ""流布する（るふする）"", ""circulate, spread (a rumor) [v.i.]"" ], [ ""分布する（ぶんぷする）"", ""distribute [v.i.]"" ], [ ""布（ぬの）"", ""cloth"" ], [ ""布地（ぬのじ）"", ""cloth, fabric"" ] ]";1886;1468;⼱;59;はば;haba;cloth;3;;
仮;ka(men);temporary, tentative;6;カ、ケ;ka, ke;かり、かりに;kari, karini;5;"[ [ ""仮名（かな）"", ""kana (hiragana, katakana)"" ], [ ""仮名（かめい）"", ""pseudonym"" ], [ ""仮面（かめん）"", ""mask, disguise"" ], [ ""仮説（かせつ）"", ""hypothesis, supposition"" ], [ ""仮装（かそう）"", ""fancy dress, masquerade"" ], [ ""仮眠する（かみんする）"", ""nap, doze [v.i.]"" ], [ ""仮定する（かていする）"", ""assume, suppose, presume"" ], [ ""仮病（けびょう）"", ""feigned illness"" ], [ ""仮に（かりに）"", ""temporarily, provisionally"" ], [ ""仮住まい（かりずまい）"", ""temporary residence"" ], [ ""仮契約（かりけいやく）"", ""provisional contract"" ] ]";34;382;⺅;11;にんべん;ninben;person ;2;へん;hen
狂;kuru(u);crazy, go mad;7;キョウ;kyou;くる、くるう、くるおしい、くるわす、くるわせる;kuru, kuruu, kuruoshii, kuruwasu, kuruwaseru;n/a;"[ [ ""狂気（きょうき）"", ""madness"" ], [ ""狂人（きょうじん）"", ""lunatic, madman"" ], [ ""狂言（きょうげん）"", ""Noh farce"" ], [ ""狂犬病（きょうけんびょう）"", ""rabies, hydrophobia"" ], [ ""発狂する（はっきょうする）"", ""go mad, lose one's mind"" ], [ ""狂う（くるう）"", ""go mad, get out of order [v.i.]"" ], [ ""狂わす（くるわす）"", ""drive mad, disrupt [v.t.]"" ], [ ""狂おしい（くるおしい）"", ""mad, crazy, distraught [adj.]"" ] ]";202;2872;⺨;78;けものへん;kemonohen;beast;3;へん;hen
障;shou-sawa(ru);hindrance, interfere with;14;ショウ;shou;さわ、さわる;sawa, sawaru;6;"[ [ ""障子（しょうじ）"", ""paper sliding door"" ], [ ""障壁（しょうへき）"", ""enclosing wall, barrier"" ], [ ""障害（しょうがい）"", ""obstacle, impediment, damage"" ], [ ""障害者（しょうがいしゃ）"", ""handicapped person"" ], [ ""支障（ししょう）"", ""obstacle, hindrance, impediment"" ], [ ""保障する（ほしょうする）"", ""guarantee, secure"" ], [ ""故障する（こしょうする）"", ""break down, be out of order"" ], [ ""障る（さわる）"", ""hinder, interfere, offend [v.i.]"" ], [ ""差し障り（さしさわり）"", ""offense, hindrance"" ] ]";504;5019;⻖;74;こざとへん;kozatohen;hill, mound;3;へん;hen
害;(hei)gai;harm, damage;10;ガイ;gai;;n/a;4;"[ [ ""害（がい）"", ""harm, damage"" ], [ ""被害（ひがい）"", ""damage"" ], [ ""弊害（へいがい）"", ""an abuse, an evil"" ], [ ""公害（こうがい）"", ""public nuisance, pollution"" ], [ ""損害（そんがい）"", ""damage, loss"" ], [ ""災害（さいがい）"", ""calamity, disaster, misfortune"" ], [ ""障害者（しょうがいしゃ）"", ""handicapped person"" ], [ ""被害者（ひがいしゃ）"", ""victim, injured party, sufferer"" ], [ ""加害者（かがいしゃ）"", ""assailant, perpetrator"" ], [ ""妨害する（ぼうがいする）"", ""disturb, obstruct, interfere"" ], [ ""阻害する（そがいする）"", ""block, check, hinder"" ], [ ""侵害する（しんがいする）"", ""infringe, violate, trespass"" ] ]";1457;1306;⼧;48;うかんむり;ukanmuri;roof, house;3;かんむり;kanmuri
演;en(geki);perform;14;エン;en;;n/a;5;"[ [ ""演劇（えんげき）"", ""play, performance"" ], [ ""演説（えんぜつ）"", ""speech, address,"" ], [ ""講演（こうえん）"", ""lecture, address"" ], [ ""主演俳優（しゅえんはいゆう）"", ""star (of a play or film)"" ], [ ""演じる（えんじる）"", ""perform, act"" ], [ ""演技する（えんぎする）"", ""act, perform"" ], [ ""演出する（えんしゅつする）"", ""direct, produce, stage"" ], [ ""演奏する（えんそうする）"", ""perform music"" ], [ ""上演する（じょうえんする）"", ""present, project (a play)"" ], [ ""共演する（きょうえんする）"", ""appear together, co-star"" ], [ ""出演する（しゅつえんする）"", ""make an appearance [v.i.]"" ] ]";491;2685;⺡;76;さんずい;sanzui;water;3;へん;hen
安;yasu(i);peaceful, inexpensive;6;アン;an;やす、やすい、やすまる、やすらか;yasu, yasui, yasumaru, yasuraka;3;"[ [ ""安定する（あんていする）"", ""become stable"" ], [ ""安心する（あんしんする）"", ""be relieved"" ], [ ""不安な（ふあんな）"", ""anxious"" ], [ ""安全な（あんぜんな）"", ""safe"" ], [ ""治安（ちあん）"", ""public peace and order"" ], [ ""安い（やすい）"", ""cheap"" ], [ ""安らぎ（やすらぎ）"", ""peace"" ], [ ""安らか（やすらか）"", ""restful"" ], [ ""安まる（やすまる）"", ""feel rested"" ] ]";1373;1283;⼧;48;うかんむり;ukanmuri;roof, house;3;かんむり;kanmuri
劇;(en)geki;drama, play;15;ゲキ;geki;;n/a;6;"[ [ ""劇（げき）"", ""drama, play"" ], [ ""劇場（げきじょう）"", ""theatre, playhouse"" ], [ ""劇団（げきだん）"", ""troupe, theatrical company"" ], [ ""演劇（えんげき）"", ""play, performance"" ], [ ""喜劇（きげき）"", ""comedy"" ], [ ""悲劇（ひげき）"", ""tragedy"" ], [ ""歌劇（かげき）"", ""opera"" ], [ ""時代劇（じだいげき）"", ""historical drama"" ], [ ""劇的な（げきてきな）"", ""dramatic"" ], [ ""悲劇的な（ひげきてきな）"", ""tragic"" ] ]";1221;247;⺉;23;りっとう;rittou;knife, sword;2;つくり;tsukuri
葉;(ochi)ba;leaf、foliage;12;ヨウ;you;は;ha;3;"[ [ ""葉緑素（ようりょくそ）"", ""chlorophyl"" ], [ ""紅葉（こうよう）"", ""autumn colors, autumn leaves"" ], [ ""針葉樹（しんようじゅ）"", ""conifer, needle-leaved tree"" ], [ ""枝葉末節（しようまっせつ）"", ""trivial details"" ], [ ""葉（は）"", ""leaf, foliage"" ], [ ""葉っぱ（はっぱ）"", ""leaf"" ], [ ""葉書（はがき）"", ""postcard"" ], [ ""言葉（ことば）"", ""word, language, speech"" ], [ ""落ち葉（おちば）"", ""fallen leaves"" ], [ ""*紅葉（もみじ）"", ""Japanese maple"" ] ]";1497;4001;⺾;71;くさかんむり;kusakanmuri;grass;3;かんむり;kanmuri
板;ita;board, plate;8;ハン、バン;han, ban;いた;ita;3;"[ [ ""黒板（こくばん）"", ""blackboard"" ], [ ""看板（かんばん）"", ""signboard, billboard"" ], [ ""掲示板（けいじばん）"", ""bulletin board, clipboard"" ], [ ""鉄板（てっぱん）"", ""iron plate"" ], [ ""甲板（かんぱん）"", ""deck"" ], [ ""板（いた）"", ""board, plank"" ], [ ""板前（いたまえ）"", ""chef, cook"" ] ]";575;2213;;98;きへん;kihen;tree, wood;4;へん;hen
階;(chi)kai;floor, rank, stair, level;12;カイ;kai;;n/a;3;"[ [ ""階段（かいだん）"", ""stairs"" ], [ ""階下（かいか）"", ""lower floor, downstairs"" ], [ ""階級（かいきゅう）"", ""class, rank, grade"" ], [ ""階層（かいそう）"", ""class, level, stratum, hierarchy"" ], [ ""地階（ちかい）"", ""basement, cellar"" ], [ ""五階（ごかい）"", ""fifth floor"" ], [ ""各階（かくかい）"", ""each floor"" ], [ ""段階（だんかい）"", ""grade, step, stage"" ], [ ""音階（おんかい）"", ""musical scale"" ] ]";451;5011;⻖;74;こざとへん;kozatohen;hill, mound;3;へん;hen
芝;shiba(fu);lawn;6;;n/a;しば;shiba;n/a;"[ [ ""芝（しば）"", ""lawn, sod, turf"" ], [ ""芝生（しばふ）"", ""lawn"" ], [ ""芝居（しばい）"", ""play, drama"" ], [ ""人工芝（じんこうしば）"", ""artificial grass"" ] ]";1380;3893;⺾;71;くさかんむり;kusakanmuri;grass;3;かんむり;kanmuri
